#{"t_start": 1647445048.053038, "env_id": null}
r,l,t
2481.794591,1,200152.543297
2736.402072,1,200182.824456
2525.920684,1,200213.77072
2538.102359,1,200244.491412
2420.975225,1,200275.220476
2685.206755,1,200305.927344
2344.750831,1,200336.849037
2472.301016,1,200367.611559
2526.278426,1,200397.961293
2537.12311,1,200428.488907
2559.376712,1,200458.935208
2439.505992,1,200489.0834
2576.70457,1,200519.965615
2558.177285,1,200550.423042
2451.386331,1,200580.887414
2603.071337,1,200611.261088
2585.599245,1,200641.810352
2641.55093,1,200672.011245
2336.623738,1,200702.545208
2382.503429,1,200732.832413
2563.577703,1,200763.466075
2527.062401,1,200794.099538
2388.559258,1,200824.06067
2652.749086,1,200854.4585
2700.743615,1,200884.917307
2631.366369,1,200915.572851
2568.048807,1,200946.444584
2655.725576,1,200976.287635
2523.891171,1,201006.741651
2324.511754,1,201037.427893
2513.371566,1,201067.689538
2388.778165,1,201097.927336
2453.320347,1,201128.588349
2570.827548,1,201159.095336
2590.867769,1,201189.709658
2489.18305,1,201220.021148
2594.020042,1,201250.893913
2529.372727,1,201281.233635
2282.81677,1,201312.034092
2467.111731,1,201342.273505
2453.912666,1,201373.033322
2403.261137,1,201402.960363
2663.627453,1,201433.659537
2400.085754,1,201463.914927
2553.828755,1,201494.168864
2480.200007,1,201524.393643
2653.702757,1,201555.078692
2632.563749,1,201585.414914
2581.384069,1,201615.734748
2602.335796,1,201646.61349
2649.7291,1,201676.938787
2667.104114,1,201707.101028
2418.634052,1,201737.353708
2653.252967,1,201768.340715
2709.351648,1,201799.14035
2488.978341,1,201829.20787
2541.713278,1,201859.739726
2360.974468,1,201890.073679
2485.776778,1,201920.654559
2745.381971,1,201951.104606
2494.166171,1,201981.263518
2409.096831,1,202011.988757
2378.699855,1,202042.544389
2586.34413,1,202073.619495
2704.23768,1,202104.423557
2576.99925,1,202134.784474
2731.313089,1,202165.315696
2573.209275,1,202196.000817
2402.787431,1,202226.520295
2540.07935,1,202257.086161
2606.680394,1,202287.713935
2599.529885,1,202318.53562
2538.617766,1,202349.170115
2724.492574,1,202379.786196
2777.564576,1,202410.144943
2245.188856,1,202440.247552
2528.303838,1,202470.629717
2398.604463,1,202501.019592
2590.054853,1,202531.225102
2499.888281,1,202561.578585
2650.131948,1,202592.168687
2587.720557,1,202622.861795
2573.750426,1,202653.943441
2375.950282,1,202684.513939
2397.064756,1,202714.874137
2566.691073,1,202745.244486
2553.82941,1,202775.568511
2540.455329,1,202805.92353
2704.699459,1,202836.462271
2360.806123,1,202866.954207
2528.705669,1,202897.859534
2666.242617,1,202928.476762
2412.818849,1,202958.919902
2675.597049,1,202989.59507
2543.16303,1,203020.266047
2636.246028,1,203050.90223
2642.518467,1,203081.671642
2432.378111,1,203112.261122
2382.122314,1,203142.597728
2600.862732,1,203172.591929
2654.626625,1,203202.882016
2334.885146,1,203233.307971
2577.882409,1,203263.344054
2562.821936,1,203293.532426
2596.723553,1,203323.947201
2595.831506,1,203354.48215
2471.201856,1,203384.589168
2508.011123,1,203414.832613
2500.32124,1,203445.218172
2544.291885,1,203475.119709
2616.4401,1,203505.662714
2442.436822,1,203536.320013
2632.611784,1,203566.80161
2438.873589,1,203596.804715
2466.76662,1,203627.594709
2335.242808,1,203657.589942
2517.655604,1,203688.176849
2619.660631,1,203718.669606
2580.795315,1,203749.509355
2664.680774,1,203779.698632
2649.981169,1,203810.361614
2641.304034,1,203840.998746
2523.616483,1,203871.458739
2781.963105,1,203902.381675
2386.956731,1,203933.008708
2560.071069,1,203963.504324
2403.846208,1,203994.368262
2839.213901,1,204024.822136
2693.556123,1,204055.837093
2461.778237,1,204086.308395
2590.381477,1,204116.954579
2588.770348,1,204147.422442
2687.03958,1,204177.828611
2601.887694,1,204208.545917
2643.411639,1,204239.26686
2419.952371,1,204269.766887
2821.360516,1,204300.134139
2374.075862,1,204330.319235
2505.174378,1,204361.435627
2519.079914,1,204391.730717
2485.846279,1,204423.023843
868.577847,1,204432.840948
2691.630115,1,204463.356686
2635.173727,1,204494.221322
2498.507276,1,204524.860292
2522.577852,1,204555.326277
2777.53304,1,204585.59865
2713.361184,1,204616.370183
2570.730989,1,204646.54326
2457.896439,1,204677.217868
2304.500121,1,204708.315682
2538.078816,1,204739.237864
2562.036352,1,204769.858063
2409.263544,1,204800.634087
2621.342744,1,204831.355683
2479.744318,1,204862.392712
2656.559231,1,204893.176384
2692.825623,1,204923.400535
2416.624575,1,204953.114747
2565.727232,1,204983.586088
2750.925116,1,205014.129744
2532.711501,1,205044.573526
2501.389727,1,205074.838911
2612.530863,1,205105.072504
2747.219911,1,205135.668574
2501.994786,1,205165.907823
2600.03109,1,205196.384695
2616.790897,1,205226.513186
2409.581153,1,205256.662382
2572.600635,1,205287.27253
2616.002875,1,205318.258581
2379.788318,1,205348.767098
2274.489548,1,205379.155495
2816.591305,1,205409.666898
2339.071331,1,205439.590491
2572.048989,1,205470.53477
2207.046694,1,205501.52197
2447.177809,1,205531.809715
2612.589172,1,205561.697953
2547.146715,1,205592.245476
2476.195152,1,205622.679523
2638.222711,1,205653.032241
2561.388117,1,205683.837799
2416.941041,1,205713.982381
2592.638561,1,205744.409187
2577.608962,1,205775.694739
2529.871496,1,205806.415847
2477.105491,1,205837.41771
2798.995392,1,205868.191482
2391.086208,1,205898.744428
2466.907816,1,205929.367256
2621.82721,1,205960.154828
2467.854649,1,205990.688152
2412.003126,1,206021.084487
2564.295603,1,206051.201974
2479.90246,1,206082.450989
2422.33906,1,206113.018999
2448.971257,1,206143.770558
2551.067592,1,206173.918169
2772.310623,1,206204.761275
2519.436389,1,206234.676496
2589.568336,1,206265.573318
2474.441167,1,206296.176112
2696.763588,1,206327.799141
2863.061756,1,206358.949539
2510.860411,1,206390.001279
2566.317181,1,206420.904652
2520.045454,1,206451.915717
2503.998403,1,206482.858608
2498.888312,1,206513.681908
2552.596178,1,206544.471307
2551.011109,1,206575.269599
2499.60614,1,206605.970149
2593.944624,1,206636.974613
2443.857891,1,206666.831532
2537.379061,1,206697.668167
2369.340667,1,206727.871545
967.970408,1,206740.988782
2274.440201,1,206771.725101
2791.052697,1,206801.643224
2407.6573,1,206831.548193
2225.915853,1,206861.561055
2323.022026,1,206891.847373
2416.026175,1,206921.984302
2687.016304,1,206952.480755
2368.04635,1,206982.302926
2560.489273,1,207012.467144
2414.095733,1,207042.773497
40000,1,207055.876402
2526.711139,1,207086.50081
2276.830079,1,207116.946857
2567.087262,1,207147.537945
2460.84889,1,207178.076284
2587.123482,1,207208.761117
2651.859897,1,207239.404688
2633.86098,1,207269.733664
2375.276093,1,207300.662952
2720.087225,1,207331.53415
2492.184891,1,207362.506786
2356.872695,1,207393.286904
2643.798951,1,207424.280197
2618.259214,1,207454.664599
2604.72028,1,207485.856288
2534.058761,1,207516.768126
2288.620912,1,207546.028649
2493.395062,1,207576.763483
2347.339677,1,207607.149154
2833.720163,1,207637.997136
2639.166143,1,207668.723066
2533.091079,1,207698.736578
2536.44983,1,207729.447744
2599.945134,1,207760.048112
2421.852482,1,207791.161309
2774.542484,1,207822.00932
2544.188235,1,207852.337871
2491.384479,1,207883.343314
2616.856047,1,207913.564318
2399.550127,1,207944.081642
2813.077326,1,207974.546091
2580.677591,1,208005.420969
2462.548329,1,208035.581115
2440.033351,1,208066.544415
2712.928249,1,208097.377098
2753.692499,1,208128.00692
2381.959628,1,208158.605807
2591.832596,1,208189.384949
2491.338082,1,208220.407476
2704.174783,1,208250.880969
2577.119123,1,208281.070832
2583.773904,1,208311.913245
2593.97081,1,208341.971328
2434.940885,1,208372.394114
2858.588927,1,208402.797415
2608.635651,1,208433.407376
2399.899994,1,208463.546195
2456.357491,1,208494.117156
2455.640264,1,208524.245575
2738.333029,1,208554.675284
2704.46459,1,208585.230163
2594.891059,1,208615.155475
2230.775562,1,208645.371588
2597.323561,1,208675.665923
2371.313566,1,208706.356621
2367.401681,1,208737.013005
2632.149316,1,208767.530968
2682.002381,1,208797.84323
2542.902858,1,208828.098825
2451.730263,1,208858.904175
2638.4345,1,208889.154365
2541.545766,1,208920.15645
2561.781189,1,208950.662337
2499.613078,1,208980.869501
2429.256759,1,209011.235196
2609.407479,1,209041.517239
2360.848275,1,209072.168254
2642.099027,1,209102.807305
2543.715228,1,209133.14293
2623.072071,1,209163.802088
2512.579618,1,209194.379239
2500.659729,1,209225.003506
2782.564889,1,209255.394584
2595.616249,1,209285.506672
2447.788545,1,209315.529314
2682.935282,1,209345.872823
2241.902141,1,209376.303311
2568.083224,1,209406.89031
2482.372149,1,209437.384421
2530.143179,1,209467.859419
2440.349937,1,209497.710794
2740.256868,1,209527.766923
2225.887203,1,209558.458161
2622.278767,1,209589.355637
2562.064412,1,209619.973521
1988.315664,1,209648.032748
2597.884481,1,209679.001224
2739.544924,1,209709.502275
2611.812206,1,209739.93979
2199.205638,1,209769.763474
2731.916022,1,209800.637199
2464.178266,1,209830.740929
2443.571407,1,209860.883516
2644.108049,1,209892.174769
2386.152701,1,209923.074836
2804.203789,1,209953.971892
2301.325082,1,209984.156469
2389.170057,1,210014.339403
2808.622238,1,210045.070197
2360.757087,1,210075.213385
2572.280266,1,210106.264615
2331.6029,1,210136.798777
2697.938098,1,210167.420166
2592.097615,1,210197.570181
2458.466227,1,210228.085536
2432.456092,1,210258.801171
2489.078809,1,210289.179181
2313.119467,1,210320.136241
2395.429836,1,210350.307159
2454.652908,1,210380.564192
2403.33215,1,210411.702565
2617.175302,1,210442.443014
2654.782468,1,210472.862828
2611.777222,1,210503.312808
2721.713888,1,210533.831479
2453.996039,1,210564.733124
2524.776582,1,210595.946441
2447.729352,1,210626.579783
2322.275761,1,210657.648646
2445.196073,1,210688.345381
2696.924372,1,210719.000066
1989.208566,1,210747.862468
2561.636676,1,210778.274165
1932.586031,1,210802.185425
2659.032243,1,210832.53252
2506.359462,1,210862.757496
2393.012163,1,210893.307352
2669.406163,1,210923.840884
2648.603637,1,210954.584652
2560.375052,1,210984.924224
2582.964838,1,211015.044084
2344.00024,1,211045.429024
2515.564135,1,211076.090431
2506.820704,1,211107.188047
2567.974093,1,211137.845436
2590.039908,1,211168.486722
2279.576733,1,211200.091905
2428.968387,1,211230.017508
2517.023527,1,211260.822697
2425.980094,1,211291.338833
2540.56696,1,211321.626256
2670.597659,1,211352.049075
2383.844713,1,211382.216365
2425.44996,1,211412.03757
2651.939876,1,211442.784779
2467.546785,1,211473.485894
2821.065138,1,211504.35015
2601.116949,1,211535.037019
2654.848382,1,211565.825604
2569.486305,1,211595.855766
2634.864149,1,211626.276283
2561.428147,1,211657.172737
2681.293001,1,211687.825317
2600.034343,1,211718.820079
2728.721183,1,211749.649982
2386.435084,1,211780.440766
2657.557013,1,211810.737337
2360.635366,1,211841.400024
2562.560347,1,211871.765859
2606.705926,1,211902.715242
2468.516728,1,211933.4827
2807.916887,1,211964.732889
2719.279901,1,211995.321472
2423.736383,1,212026.497756
2425.847265,1,212056.942393
2450.35499,1,212087.217414
2477.194302,1,212118.664391
2501.437793,1,212149.11744
2504.920023,1,212179.399316
2517.55079,1,212209.645497
2425.108708,1,212240.271535
2572.517874,1,212270.508651
2554.126546,1,212301.103673
2641.723467,1,212331.677719
2455.936782,1,212362.411262
2536.887451,1,212393.624808
2870.067787,1,212424.633098
2327.898591,1,212455.299109
2648.59436,1,212485.660645
2560.843722,1,212516.214648
2536.848089,1,212547.245251
2623.099866,1,212578.248736
2755.926389,1,212608.834087
2497.286976,1,212639.402448
2547.78787,1,212670.60942
2446.260106,1,212701.171738
2549.437741,1,212732.06202
2476.097072,1,212762.93118
2515.593016,1,212793.286474
2465.458818,1,212824.123937
2736.582267,1,212854.697831
2245.399125,1,212885.968954
2440.440575,1,212916.680269
2625.79085,1,212947.172419
2472.089402,1,212977.646633
2659.605702,1,213008.341144
2605.337081,1,213038.897161
2459.704721,1,213069.425549
2751.246727,1,213099.947163
2420.139162,1,213130.618675
2394.335027,1,213161.193888
2471.618553,1,213191.886155
2460.831894,1,213222.456354
2434.3066,1,213253.241777
2299.186587,1,213283.059553
2654.210343,1,213314.022323
2354.848186,1,213344.803995
2434.5436,1,213375.693283
2489.879192,1,213406.169888
2587.209425,1,213436.988596
2467.978515,1,213467.627869
2494.42698,1,213498.439339
2515.555828,1,213528.450033
2447.518572,1,213559.241443
2294.964184,1,213589.717765
2564.556425,1,213620.615448
2716.861042,1,213651.947013
2550.272966,1,213682.538338
2648.972303,1,213712.673902
2528.778344,1,213743.512295
2628.597426,1,213773.816398
2628.492611,1,213804.16369
2653.227461,1,213835.025532
2614.99893,1,213865.658485
2444.814412,1,213895.629734
2326.914123,1,213925.771164
2415.704279,1,213956.499186
2611.828265,1,213986.937824
2598.560625,1,214017.760747
2586.767115,1,214048.260472
2620.373536,1,214078.84904
2637.864192,1,214109.730438
2395.066321,1,214140.385319
2547.844789,1,214170.700024
2684.774854,1,214201.651111
2336.911475,1,214232.503457
2693.494265,1,214262.680576
2404.433692,1,214292.917897
2673.304858,1,214323.261813
2409.922397,1,214354.261806
2591.881296,1,214384.914794
2436.486216,1,214415.766473
2488.68503,1,214446.352636
2657.081078,1,214477.009744
2479.562824,1,214507.719685
2448.205922,1,214538.168696
2646.425966,1,214569.255336
2598.634793,1,214599.784439
2469.845861,1,214630.698991
2577.685656,1,214661.655804
2580.263461,1,214693.055917
2544.881447,1,214723.468193
2521.334732,1,214753.586326
2392.157304,1,214783.854228
2521.252501,1,214814.311634
2392.786799,1,214845.270818
2738.959128,1,214876.51075
2505.591926,1,214907.584897
2542.353159,1,214938.120281
2463.514334,1,214968.657514
2408.137167,1,214998.828937
2325.354465,1,215029.170235
2379.005458,1,215059.379381
2511.322663,1,215090.053226
2520.664801,1,215120.387682
2579.374767,1,215151.042856
2679.868928,1,215181.584143
2533.202235,1,215212.404492
2306.722076,1,215243.0061
2408.450778,1,215273.294034
2516.239497,1,215304.132603
2607.752398,1,215334.846753
2711.346868,1,215365.432207
2478.488323,1,215395.695289
2501.003633,1,215425.993967
2554.643313,1,215456.274373
2522.616523,1,215486.766606
2428.533696,1,215516.96748
2302.761714,1,215547.413023
2479.485327,1,215577.727839
2545.572241,1,215607.881438
2701.603332,1,215638.481934
2448.184691,1,215669.38866
2732.55148,1,215700.457006
2703.353177,1,215731.136822
2634.767552,1,215761.9352
2281.314653,1,215792.482377
2807.026995,1,215822.550189
2566.025004,1,215852.938951
2577.3584,1,215883.966883
2496.554749,1,215914.613616
2498.245806,1,215945.399091
2591.6382,1,215976.014766
2508.839529,1,216006.626006
2436.419521,1,216037.446015
2677.88819,1,216067.784429
2343.718368,1,216098.281801
2281.973558,1,216128.555153
2433.555507,1,216158.482687
2696.32335,1,216188.875759
2027.931411,1,216219.20487
2593.134538,1,216249.455235
2591.750512,1,216280.524605
2550.480665,1,216311.09321
2479.878582,1,216341.412652
2387.064948,1,216372.123374
2612.164692,1,216402.405429
2428.91915,1,216433.155036
2570.610044,1,216464.122482
2379.656058,1,216494.522471
2504.167136,1,216525.079813
2496.043707,1,216555.603216
2721.229935,1,216586.111389
2373.76024,1,216616.628035
2498.456892,1,216646.976255
2395.222447,1,216678.368066
2664.686109,1,216708.467044
2883.923301,1,216739.416533
2647.56038,1,216770.430159
2408.633411,1,216800.390421
2464.584379,1,216830.645983
2391.964739,1,216861.692579
2511.442021,1,216892.025809
1057.603511,1,216906.562624
2534.431312,1,216937.40151
1034.474926,1,216947.813495
2280.495737,1,216978.052638
2339.026914,1,217008.477489
2637.096955,1,217039.08237
2453.34092,1,217069.525328
2461.769235,1,217099.514262
2567.469471,1,217129.998369
2603.709425,1,217160.418739
2553.791359,1,217191.103985
2629.387938,1,217221.542812
2534.932943,1,217252.542706
2492.637556,1,217283.067593
2576.134792,1,217313.93762
2598.647963,1,217344.922996
2357.584954,1,217375.333275
2360.890191,1,217405.445497
2515.318703,1,217436.197375
2532.108423,1,217466.770428
2488.64758,1,217497.2194
2283.630293,1,217527.773526
2312.891154,1,217558.760639
2642.316619,1,217589.322635
2737.905961,1,217619.951035
2479.148409,1,217650.29324
2507.698632,1,217681.087495
2743.407301,1,217711.562578
2157.082163,1,217741.524003
2642.709813,1,217771.708629
2347.101562,1,217801.662027
1007.12471,1,217814.082312
2687.485077,1,217844.326536
2586.727034,1,217874.502607
2461.632291,1,217904.58534
2344.738801,1,217934.755869
2584.622491,1,217964.571239
2402.920602,1,217994.922406
2451.028371,1,218024.864511
1596.854232,1,218045.802318
2526.969323,1,218076.523482
2607.312353,1,218106.60159
2403.81884,1,218137.47004
2460.176438,1,218168.08474
2399.215411,1,218198.442768
2531.518787,1,218229.348787
2509.726181,1,218259.474338
2551.166452,1,218290.119375
2608.48297,1,218321.546831
2537.443996,1,218352.975962
2547.64816,1,218383.869963
2746.594263,1,218415.013003
2556.563091,1,218445.548631
2286.862209,1,218476.07989
2464.274383,1,218507.341977
2648.663297,1,218537.760904
2731.027611,1,218568.498217
2678.146496,1,218599.2121
2586.556807,1,218629.606117
2725.451954,1,218660.071033
2608.725271,1,218690.950757
2589.471801,1,218721.396764
2156.35839,1,218752.307054
2494.962575,1,218782.816194
2563.342911,1,218813.543349
2334.074784,1,218843.900538
2847.903828,1,218874.587257
2041.318072,1,218901.22251
2734.490994,1,218931.057263
2560.533718,1,218961.49946
2621.801351,1,218992.71839
2594.849315,1,219023.222419
2641.714916,1,219053.882845
2388.505034,1,219084.387992
2518.884125,1,219114.918029
2394.747337,1,219143.293905
2365.74845,1,219173.646276
2539.917094,1,219204.29631
2614.370655,1,219234.615994
2573.438397,1,219264.833675
2413.778799,1,219295.370049
40000,1,219311.915748
2648.837783,1,219342.327939
2522.479374,1,219372.576126
2430.025003,1,219402.567936
2722.537054,1,219433.339067
2274.078201,1,219463.548986
2838.358175,1,219493.883016
2678.709457,1,219523.83075
2578.450683,1,219554.275318
2263.711613,1,219584.088861
2473.814142,1,219614.277951
2625.599746,1,219644.916267
2439.765055,1,219675.221297
2570.571018,1,219705.828857
2671.266203,1,219736.340331
2271.476764,1,219766.469173
2272.329606,1,219796.872538
2513.897332,1,219827.230415
2632.800775,1,219857.670423
2543.838411,1,219888.281913
2517.787207,1,219918.53801
2514.582899,1,219948.800394
2462.711529,1,219978.944095
2331.134344,1,220008.603369
2610.698739,1,220039.306523
2563.623688,1,220069.833463
2721.255124,1,220100.738763
2416.528815,1,220131.115796
2790.685962,1,220161.62322
2387.628885,1,220192.003893
2378.333631,1,220222.54151
2674.175758,1,220253.630127
2325.147071,1,220284.272516
2409.757761,1,220314.407272
2562.25336,1,220345.040446
2558.413349,1,220375.814541
2175.72019,1,220406.143201
2469.414772,1,220436.431655
2624.739891,1,220467.369638
1627.194866,1,220489.597529
2528.673094,1,220519.925342
1333.983865,1,220536.947849
2412.15409,1,220567.802518
2572.885468,1,220598.310971
2486.899887,1,220628.354007
2615.678927,1,220659.038391
2454.640311,1,220689.849376
2547.047113,1,220720.61511
2153.10179,1,220750.893254
2707.456142,1,220781.372938
2466.803196,1,220812.003512
2620.982942,1,220842.001925
2602.142531,1,220872.587052
2362.288351,1,220903.393975
2549.80466,1,220933.521276
2694.923959,1,220964.212955
2492.202754,1,220994.053416
2684.80746,1,221024.578221
2744.528794,1,221054.833087
2650.999929,1,221085.318519
2588.782173,1,221116.593703
2493.682545,1,221147.61423
2686.18276,1,221178.49877
2610.271986,1,221209.168484
2611.588022,1,221239.742993
2535.075137,1,221269.602461
2542.504555,1,221300.321636
2507.811223,1,221330.380703
2346.266729,1,221360.542109
2783.842699,1,221391.104405
2746.057974,1,221421.729407
2555.66663,1,221452.228707
2406.330389,1,221482.837809
2585.293601,1,221513.572887
2609.13845,1,221544.197251
2626.090596,1,221574.206827
2730.51713,1,221604.8386
2614.831322,1,221636.595696
2544.268456,1,221668.022326
1152.533534,1,221683.365119
2580.23021,1,221714.577677
2512.89452,1,221744.785918
2593.71283,1,221775.532795
2720.295972,1,221806.06041
2391.509308,1,221836.073519
2281.752526,1,221866.022946
2551.955913,1,221896.728024
2630.505658,1,221927.75708
2417.083722,1,221957.934747
2335.018745,1,221988.057483
2637.971344,1,222017.9878
2630.289018,1,222048.832405
2617.648941,1,222079.31805
2236.136091,1,222109.662842
2434.808555,1,222140.547699
2726.649302,1,222171.272185
2604.852751,1,222201.984943
2576.302249,1,222232.680959
2518.218341,1,222262.968262
2413.281074,1,222293.231058
2820.11798,1,222323.474827
2437.901937,1,222354.226646
2468.377625,1,222384.818176
2610.889547,1,222415.624259
2591.867775,1,222446.617104
2484.15615,1,222477.29524
2519.348799,1,222508.326806
2631.4203,1,222538.659652
2559.037817,1,222569.049708
2521.392248,1,222599.784489
2657.863984,1,222630.785799
2699.720021,1,222661.287086
2495.783676,1,222692.069838
2282.484757,1,222722.699483
2586.946266,1,222753.409801
2268.291083,1,222784.359772
2566.665843,1,222814.948164
2639.92024,1,222845.896065
2605.950653,1,222876.554408
2652.926883,1,222907.170254
2779.888146,1,222937.885769
2523.753234,1,222968.472193
2301.320199,1,222999.043144
2475.277596,1,223029.447163
2422.089045,1,223059.675987
2419.195976,1,223090.456297
2268.91897,1,223121.269987
2620.84135,1,223152.534414
2701.789684,1,223183.58185
2393.138993,1,223214.289071
2154.294354,1,223244.675172
2553.078071,1,223275.551668
2361.972707,1,223306.405185
2680.881639,1,223337.234007
2160.592049,1,223364.386351
2476.537625,1,223394.627403
2731.618366,1,223425.325575
2463.077428,1,223455.942246
2532.532098,1,223486.552101
2710.219031,1,223517.035248
2561.37654,1,223547.65424
2107.630066,1,223577.939613
2664.676318,1,223608.833406
2338.34093,1,223640.404098
2310.218766,1,223670.669466
2475.310032,1,223699.684356
2667.635614,1,223730.633075
2689.126853,1,223761.026966
1702.124205,1,223785.675754
2633.981461,1,223816.294724
2524.23566,1,223847.104642
2627.42555,1,223877.835393
2527.992987,1,223908.726617
2359.992418,1,223939.273083
2056.735759,1,223969.81973
2763.658427,1,224001.451552
2695.048444,1,224031.82779
2419.695981,1,224061.741426
2538.654249,1,224092.656353
2562.534832,1,224123.013279
2597.685648,1,224153.348358
2415.287616,1,224184.067895
2453.258167,1,224215.772636
2668.084972,1,224246.018406
2338.429856,1,224276.762556
2683.545239,1,224307.193235
2551.038693,1,224338.708502
2373.687426,1,224369.373509
2407.403288,1,224399.799735
2651.914646,1,224430.006034
2443.716823,1,224461.221577
2484.015636,1,224491.923993
2499.692966,1,224522.107949
2259.438377,1,224550.434561
1891.303883,1,224578.327419
2352.023566,1,224608.456343
2531.370767,1,224638.597033
2096.516094,1,224669.147547
2616.535906,1,224699.513612
2448.010562,1,224729.846609
2583.885076,1,224760.357397
2431.186305,1,224790.437359
2445.279346,1,224821.152371
2374.969436,1,224850.766358
2676.854353,1,224880.86183
2557.052497,1,224911.740684
2265.152288,1,224941.71149
2599.707114,1,224972.376486
2532.376596,1,225002.835566
2389.880219,1,225033.101187
2453.884442,1,225063.374144
2307.131677,1,225093.655854
2683.060766,1,225124.021305
2550.460218,1,225154.673711
2486.49701,1,225185.449138
2459.81436,1,225216.009919
2689.761064,1,225246.804414
2440.499384,1,225277.17808
2661.263244,1,225307.889766
2067.298162,1,225337.868581
2662.104596,1,225369.327211
2636.90376,1,225400.503719
2612.953863,1,225430.661844
2248.266065,1,225460.792601
2663.744927,1,225491.307101
